7	62	101	\N	1986-11-11	1986-11-27	\N	1993-05-06	f	f	\N	f	\N	135	\N	\N	\N	\N
9	16	100	\N	1987-02-01	1987-02-10	\N	1993-05-08	f	f	\N	f	\N	59	\N	\N	\N	\N
11	16	99	\N	1987-02-01	1987-02-10	\N	1993-08-30	f	f	\N	f	\N	57	\N	\N	\N	\N
12	16	108	\N	1987-02-01	1987-02-10	\N	1993-05-08	f	f	\N	f	\N	88	\N	\N	\N	\N
14	16	62	\N	1987-02-01	1987-02-10	\N	1993-05-16	f	f	\N	f	\N	53	\N	\N	\N	\N
16	16	66	\N	1987-02-01	1987-02-10	\N	1993-05-18	f	f	\N	f	\N	99	\N	\N	\N	\N
17	16	90	\N	1987-02-01	1987-02-10	\N	1993-05-07	f	f	\N	f	\N	71	\N	\N	\N	\N
18	16	57	\N	1987-02-01	1996-12-24	\N	1996-12-24	f	f	\N	f	\N	122	\N	\N	\N	\N
19	16	5	\N	1987-02-01	1987-02-10	\N	1993-05-16	f	f	\N	f	\N	94	\N	\N	\N	\N
20	16	6	\N	1987-02-01	1987-02-10	\N	1993-05-07	f	f	\N	f	\N	75	\N	\N	\N	\N
21	16	106	\N	1987-02-01	1987-02-10	\N	1993-06-01	f	f	\N	f	\N	13	\N	\N	\N	\N
22	16	103	\N	1987-02-01	1987-02-10	\N	1994-04-28	f	f	\N	f	\N	101	\N	\N	\N	\N
23	16	83	\N	1987-02-01	1987-02-10	\N	1993-05-15	f	f	\N	f	\N	102	\N	\N	\N	\N
27	16	87	\N	1987-02-01	1987-02-10	\N	1993-05-22	f	f	\N	f	\N	12	\N	\N	\N	\N
29	16	39	41	1987-02-01	1987-02-10	\N	1993-05-08	f	f	\N	f	\N	61	\N	\N	\N	\N
30	16	39	41	1987-02-01	\N	\N	1993-07-27	f	f	\N	f	\N	20	\N	\N	\N	\N
32	16	12	\N	1987-02-01	1987-02-10	\N	1993-05-31	f	f	\N	f	\N	5	\N	\N	\N	\N
40	16	15	\N	1987-02-01	1987-02-10	\N	1993-05-06	f	f	\N	f	\N	3	\N	\N	\N	\N
42	16	63	\N	1987-02-01	1987-02-10	\N	1993-07-02	f	f	\N	f	\N	93	\N	\N	\N	\N
44	16	18	\N	1987-02-01	1987-02-10	\N	1993-05-08	f	f	\N	f	\N	4	\N	\N	\N	\N
45	16	91	\N	1987-02-01	1987-02-10	\N	1994-04-28	f	f	\N	f	\N	79	\N	\N	\N	\N
46	16	94	\N	1987-02-01	1987-02-10	\N	1993-05-23	f	f	\N	f	\N	97	\N	\N	\N	\N
47	16	44	\N	1987-02-01	1987-02-10	\N	1993-05-20	f	f	\N	f	\N	70	\N	\N	\N	\N
48	16	77	\N	1987-02-01	1987-02-10	\N	1993-05-11	f	f	\N	f	\N	2	\N	\N	\N	\N
49	16	42	\N	1987-02-01	1987-02-10	\N	1993-08-01	f	f	\N	f	\N	84	\N	\N	\N	\N
50	16	95	\N	1987-02-01	1987-02-10	\N	1993-05-20	f	f	\N	f	\N	95	\N	\N	\N	\N
51	16	41	\N	1987-02-01	1987-02-10	\N	1993-06-06	f	f	\N	f	\N	67	\N	\N	\N	\N
52	16	38	\N	1987-02-01	1987-02-10	\N	1993-05-22	f	f	\N	f	\N	65	\N	\N	\N	\N
53	16	96	\N	1987-02-01	1987-02-10	\N	1993-05-22	f	f	\N	f	\N	17	\N	\N	\N	\N
54	16	97	\N	1987-02-01	1987-02-10	\N	1993-05-05	f	f	\N	f	\N	91	\N	\N	\N	\N
55	16	33	\N	1987-02-01	1987-02-10	\N	1993-05-10	f	f	\N	f	\N	56	\N	\N	\N	\N
56	16	47	\N	1987-02-01	1987-02-10	\N	1993-08-18	f	f	\N	f	\N	55	\N	\N	\N	\N
57	16	67	\N	1987-02-01	1987-02-10	\N	1993-05-07	f	f	\N	f	\N	9	\N	\N	\N	\N
58	16	68	\N	1987-02-01	1987-04-01	\N	1993-05-21	f	f	\N	f	\N	68	\N	\N	\N	\N
59	16	78	\N	1987-02-01	1987-02-10	\N	1988-07-05	f	f	\N	f	\N	15	\N	\N	\N	\N
